,ARIMA PREDICTION
2022-12-31,48.380763623904315
2023-01-01,46.35126992611934
2023-01-02,46.163133427255396
2023-01-03,45.51452155225474
2023-01-04,46.74877316378019
2023-01-05,46.534222184031144
2023-01-06,46.52710010265424
2023-01-07,46.42365103947322
2023-01-08,46.55776040339754
2023-01-09,46.53496213766325
2023-01-10,46.53659841853482
2023-01-11,46.52196342287487
2023-01-12,46.53655229608348
2023-01-13,46.53408397465849
2023-01-14,46.53461594814327
2023-01-15,46.53267436530716
2023-01-16,46.53426338999221
2023-01-17,46.533988181634754
2023-01-18,46.53409339203384
2023-01-19,46.53384588021887
2023-01-20,46.534019297207294
2023-01-21,46.53398751170864
2023-01-22,46.53400496364824
2023-01-23,46.53397425045533
2023-01-24,46.53399323514244
2023-01-25,46.53398943243793
2023-01-26,46.5339920680336
2023-01-27,46.533988329328324
2023-01-28,46.53399041713353
2023-01-29,46.53398994829477
2023-01-30,46.533990323423154
2023-01-31,46.53398987465776
